LR,3PC,SFD,3PT,2PT,FGm,FD,FT,FTm,RUN,BAD,HC,TOTAL
64.0,0.0,21.0,0.0,2.0,-64.0,1.0,2.0,-4.0,0.0,-1.0,11.0,-32.0
32.0,3.2,17.5,18.0,0.0,-60.0,4.0,4.0,-4.0,-2.0,-2.0,7.0,-17.7
16.0,3.2,10.5,0.0,4.0,-32.0,4.0,2.0,0.0,0.0,0.0,5.0,-12.7
3.2,0.0,3.5,3.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7
25.6,3.2,7.0,39.0,8.0,-64.0,2.0,0.0,-2.0,-3.0,0.0,2.0,-17.8
35.2,3.2,10.5,24.0,4.0,-84.0,1.0,1.0,-4.0,-1.0,-1.0,0.0,11.1
12.8,12.8,14.0,45.0,8.0,-102.0,2.0,3.0,-2.0,-1.0,-4.0,1.0,10.4
28.8,0.0,3.5,0.0,4.0,-44.0,1.0,0.0,0.0,0.0,0.0,8.0,-1.3
60.8,0.0,56.0,3.0,10.0,-90.0,2.0,2.0,-4.0,-1.0,-1.0,27.0,-64.8
25.6,9.6,10.5,3.0,4.0,-62.0,2.0,1.0,-2.0,0.0,-1.0,3.0,6.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
